Distirct No (apylinkės nr.),Party No (partijos nr.),Constituency No (apygardos nr.),By post (balsai paštu),Distirct (apylinkė),In distirct (balsai apylinkėje),Party (partija),Constituency (apygarda),Total (balsai iš viso),Valid ballot papers percent (galiojančių biuletenių skaičius)
14,3,27,16,Nemuno,379,Darbo partija,Vakarinė,395,18.62
14,8,27,22,Nemuno,352,Lietuvos socialdemokratų partija,Vakarinė,374,17.63
14,5,27,36,Nemuno,354,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Vakarinė,390,18.39
14,1,27,21,Nemuno,336,Lietuvos Respublikos liberalų sąjūdis,Vakarinė,357,16.83
14,6,27,10,Nemuno,175,„Drąsos kelias“ politinė partija,Vakarinė,185,8.72
15,3,29,14,Centro,123,Darbo partija,Marijampolės,137,13.6
15,8,29,21,Centro,241,Lietuvos socialdemokratų partija,Marijampolės,262,26.02
15,5,29,33,Centro,195,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,228,22.64
15,1,29,11,Centro,69,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,80,7.94
15,6,29,5,Centro,99,„Drąsos kelias“ politinė partija,Marijampolės,104,10.33
14,3,29,5,Gedimino,58,Darbo partija,Marijampolės,63,18.37
14,8,29,10,Gedimino,84,Lietuvos socialdemokratų partija,Marijampolės,94,27.41
14,5,29,8,Gedimino,53,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,61,17.78
14,1,29,2,Gedimino,21,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,23,6.71
14,6,29,5,Gedimino,38,„Drąsos kelias“ politinė partija,Marijampolės,43,12.54
16,15,27,,Šermuto,22,Partija „Jaunoji Lietuva“,Vakarinė,22,1.04
16,4,27,,Šermuto,11,Demokratinė darbo ir vienybės partija,Vakarinė,11,0.52
16,17,27,1,Šermuto,13,Emigrantų partija,Vakarinė,14,0.66
16,2,27,,Šermuto,4,Respublikonų partija,Vakarinė,4,0.19
16,12,27,,Šermuto,6,Lietuvos žmonių partija,Vakarinė,6,0.28
15,15,27,,Žvaigždžių,20,Partija „Jaunoji Lietuva“,Vakarinė,20,0.91
15,4,27,,Žvaigždžių,5,Demokratinė darbo ir vienybės partija,Vakarinė,5,0.23
15,17,27,2,Žvaigždžių,12,Emigrantų partija,Vakarinė,14,0.63
15,2,27,,Žvaigždžių,7,Respublikonų partija,Vakarinė,7,0.32
15,12,27,,Žvaigždžių,2,Lietuvos žmonių partija,Vakarinė,2,0.09
14,9,27,7,Nemuno,116,Partija Tvarka ir teisingumas,Vakarinė,123,5.8
14,7,27,,Nemuno,1,Lietuvos lenkų rinkimų akcija,Vakarinė,1,0.05
14,14,27,3,Nemuno,85,Lietuvos valstiečių ir žaliųjų sąjunga,Vakarinė,88,4.15
14,16,27,2,Nemuno,24,Liberalų ir centro sąjunga,Vakarinė,26,1.23
14,18,27,6,Nemuno,39,Politinė partija „Sąjunga Taip“,Vakarinė,45,2.12
14,13,27,,Nemuno,17,Socialistinis liaudies Frontas,Vakarinė,17,0.8
14,11,27,2,Nemuno,31,Krikščionių partija,Vakarinė,33,1.56
14,10,27,4,Nemuno,34,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Vakarinė,38,1.79
15,9,29,5,Centro,67,Partija Tvarka ir teisingumas,Marijampolės,72,7.15
15,7,29,1,Centro,1,Lietuvos lenkų rinkimų akcija,Marijampolės,2,0.2
15,14,29,2,Centro,36,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,38,3.77
15,16,29,2,Centro,12,Liberalų ir centro sąjunga,Marijampolės,14,1.39
15,18,29,,Centro,8,Politinė partija „Sąjunga Taip“,Marijampolės,8,0.79
15,13,29,1,Centro,2,Socialistinis liaudies Frontas,Marijampolės,3,0.3
15,11,29,1,Centro,22,Krikščionių partija,Marijampolės,23,2.28
15,10,29,2,Centro,18,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,20,1.99
14,9,29,4,Gedimino,19,Partija Tvarka ir teisingumas,Marijampolės,23,6.71
14,7,29,,Gedimino,,Lietuvos lenkų rinkimų akcija,Marijampolės,,
14,14,29,1,Gedimino,8,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,9,2.62
14,16,29,,Gedimino,3,Liberalų ir centro sąjunga,Marijampolės,3,0.87
14,18,29,1,Gedimino,1,Politinė partija „Sąjunga Taip“,Marijampolės,2,0.58
14,13,29,,Gedimino,3,Socialistinis liaudies Frontas,Marijampolės,3,0.87
14,11,29,,Gedimino,6,Krikščionių partija,Marijampolės,6,1.75
14,10,29,1,Gedimino,4,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,5,1.46
13,3,29,15,Armino,83,Darbo partija,Marijampolės,98,14.85
13,8,29,31,Armino,141,Lietuvos socialdemokratų partija,Marijampolės,172,26.06
13,5,29,69,Armino,88,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,157,23.79
13,1,29,3,Armino,43,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,46,6.97
13,6,29,16,Armino,48,„Drąsos kelias“ politinė partija,Marijampolės,64,9.7
12,3,29,190,Beržų,156,Darbo partija,Marijampolės,346,36.27
12,8,29,12,Beržų,222,Lietuvos socialdemokratų partija,Marijampolės,234,24.53
12,5,29,8,Beržų,66,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,74,7.76
12,1,29,1,Beržų,35,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,36,3.77
12,6,29,45,Beržų,70,„Drąsos kelias“ politinė partija,Marijampolės,115,12.05
14,15,27,1,Nemuno,19,Partija „Jaunoji Lietuva“,Vakarinė,20,0.94
14,4,27,1,Nemuno,4,Demokratinė darbo ir vienybės partija,Vakarinė,5,0.24
14,17,27,,Nemuno,17,Emigrantų partija,Vakarinė,17,0.8
14,2,27,2,Nemuno,2,Respublikonų partija,Vakarinė,4,0.19
14,12,27,,Nemuno,3,Lietuvos žmonių partija,Vakarinė,3,0.14
15,15,29,2,Centro,3,Partija „Jaunoji Lietuva“,Marijampolės,5,0.5
15,4,29,,Centro,6,Demokratinė darbo ir vienybės partija,Marijampolės,6,0.6
15,17,29,,Centro,2,Emigrantų partija,Marijampolės,2,0.2
15,2,29,,Centro,2,Respublikonų partija,Marijampolės,2,0.2
15,12,29,,Centro,1,Lietuvos žmonių partija,Marijampolės,1,0.1
14,15,29,,Gedimino,2,Partija „Jaunoji Lietuva“,Marijampolės,2,0.58
14,4,29,,Gedimino,1,Demokratinė darbo ir vienybės partija,Marijampolės,1,0.29
14,17,29,1,Gedimino,4,Emigrantų partija,Marijampolės,5,1.46
14,2,29,,Gedimino,,Respublikonų partija,Marijampolės,,
14,12,29,,Gedimino,,Lietuvos žmonių partija,Marijampolės,,
13,9,29,8,Armino,24,Partija Tvarka ir teisingumas,Marijampolės,32,4.85
13,7,29,,Armino,1,Lietuvos lenkų rinkimų akcija,Marijampolės,1,0.15
13,14,29,,Armino,14,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,14,2.12
13,16,29,1,Armino,12,Liberalų ir centro sąjunga,Marijampolės,13,1.97
13,18,29,3,Armino,3,Politinė partija „Sąjunga Taip“,Marijampolės,6,0.91
13,13,29,,Armino,3,Socialistinis liaudies Frontas,Marijampolės,3,0.45
13,11,29,16,Armino,18,Krikščionių partija,Marijampolės,34,5.15
13,10,29,2,Armino,6,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,8,1.21
12,9,29,22,Beržų,46,Partija Tvarka ir teisingumas,Marijampolės,68,7.13
12,7,29,4,Beržų,1,Lietuvos lenkų rinkimų akcija,Marijampolės,5,0.52
12,14,29,4,Beržų,19,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,23,2.41
12,16,29,1,Beržų,7,Liberalų ir centro sąjunga,Marijampolės,8,0.84
12,18,29,,Beržų,5,Politinė partija „Sąjunga Taip“,Marijampolės,5,0.52
12,13,29,1,Beržų,3,Socialistinis liaudies Frontas,Marijampolės,4,0.42
12,11,29,1,Beržų,10,Krikščionių partija,Marijampolės,11,1.15
12,10,29,,Beržų,2,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,2,0.21
11,3,29,12,Dariaus ir Girėno,129,Darbo partija,Marijampolės,141,14.36
11,8,29,20,Dariaus ir Girėno,292,Lietuvos socialdemokratų partija,Marijampolės,312,31.77
11,5,29,25,Dariaus ir Girėno,159,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,184,18.74
11,1,29,4,Dariaus ir Girėno,49,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,53,5.4
11,6,29,9,Dariaus ir Girėno,91,„Drąsos kelias“ politinė partija,Marijampolės,100,10.18
13,15,29,,Armino,5,Partija „Jaunoji Lietuva“,Marijampolės,5,0.76
13,4,29,3,Armino,1,Demokratinė darbo ir vienybės partija,Marijampolės,4,0.61
13,17,29,,Armino,,Emigrantų partija,Marijampolės,,
13,2,29,,Armino,1,Respublikonų partija,Marijampolės,1,0.15
13,12,29,,Armino,2,Lietuvos žmonių partija,Marijampolės,2,0.3
12,15,29,,Beržų,1,Partija „Jaunoji Lietuva“,Marijampolės,1,0.1
12,4,29,,Beržų,3,Demokratinė darbo ir vienybės partija,Marijampolės,3,0.31
12,17,29,2,Beržų,1,Emigrantų partija,Marijampolės,3,0.31
12,2,29,12,Beržų,1,Respublikonų partija,Marijampolės,13,1.36
12,12,29,,Beržų,3,Lietuvos žmonių partija,Marijampolės,3,0.31
11,9,29,14,Dariaus ir Girėno,74,Partija Tvarka ir teisingumas,Marijampolės,88,8.96
11,7,29,,Dariaus ir Girėno,1,Lietuvos lenkų rinkimų akcija,Marijampolės,1,0.1
11,14,29,1,Dariaus ir Girėno,31,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,32,3.26
11,16,29,,Dariaus ir Girėno,8,Liberalų ir centro sąjunga,Marijampolės,8,0.81
11,18,29,2,Dariaus ir Girėno,8,Politinė partija „Sąjunga Taip“,Marijampolės,10,1.02
11,13,29,,Dariaus ir Girėno,4,Socialistinis liaudies Frontas,Marijampolės,4,0.41
11,11,29,7,Dariaus ir Girėno,12,Krikščionių partija,Marijampolės,19,1.93
11,10,29,1,Dariaus ir Girėno,12,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,13,1.32
10,3,29,10,Kauno,177,Darbo partija,Marijampolės,187,16.5
10,8,29,27,Kauno,334,Lietuvos socialdemokratų partija,Marijampolės,361,31.86
10,5,29,19,Kauno,165,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,184,16.24
10,1,29,6,Kauno,48,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,54,4.77
10,6,29,5,Kauno,129,„Drąsos kelias“ politinė partija,Marijampolės,134,11.83
10,9,29,2,Kauno,84,Partija Tvarka ir teisingumas,Marijampolės,86,7.59
11,15,29,,Dariaus ir Girėno,5,Partija „Jaunoji Lietuva“,Marijampolės,5,0.51
11,4,29,2,Dariaus ir Girėno,5,Demokratinė darbo ir vienybės partija,Marijampolės,7,0.71
11,17,29,,Dariaus ir Girėno,1,Emigrantų partija,Marijampolės,1,0.1
11,2,29,,Dariaus ir Girėno,1,Respublikonų partija,Marijampolės,1,0.1
11,12,29,,Dariaus ir Girėno,3,Lietuvos žmonių partija,Marijampolės,3,0.31
10,7,29,,Kauno,,Lietuvos lenkų rinkimų akcija,Marijampolės,,
10,14,29,2,Kauno,37,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,39,3.44
10,16,29,1,Kauno,11,Liberalų ir centro sąjunga,Marijampolės,12,1.06
10,18,29,3,Kauno,4,Politinė partija „Sąjunga Taip“,Marijampolės,7,0.62
10,13,29,2,Kauno,9,Socialistinis liaudies Frontas,Marijampolės,11,0.97
10,11,29,1,Kauno,28,Krikščionių partija,Marijampolės,29,2.56
10,10,29,,Kauno,9,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,9,0.79
10,15,29,1,Kauno,9,Partija „Jaunoji Lietuva“,Marijampolės,10,0.88
10,4,29,1,Kauno,4,Demokratinė darbo ir vienybės partija,Marijampolės,5,0.44
10,17,29,,Kauno,4,Emigrantų partija,Marijampolės,4,0.35
10,2,29,,Kauno,1,Respublikonų partija,Marijampolės,1,0.09
10,12,29,,Kauno,,Lietuvos žmonių partija,Marijampolės,,
9,3,29,7,Šaulių,179,Darbo partija,Marijampolės,186,15.75
9,8,29,29,Šaulių,342,Lietuvos socialdemokratų partija,Marijampolės,371,31.41
9,5,29,21,Šaulių,143,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,164,13.89
9,1,29,5,Šaulių,98,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,103,8.72
9,6,29,18,Šaulių,116,„Drąsos kelias“ politinė partija,Marijampolės,134,11.35
8,3,29,15,Suvalkiečių,177,Darbo partija,Marijampolės,192,18.15
8,8,29,29,Suvalkiečių,297,Lietuvos socialdemokratų partija,Marijampolės,326,30.81
8,5,29,16,Suvalkiečių,157,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,173,16.35
8,1,29,8,Suvalkiečių,74,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,82,7.75
7,3,29,24,Degučių,244,Darbo partija,Marijampolės,268,16.22
7,8,29,43,Degučių,533,Lietuvos socialdemokratų partija,Marijampolės,576,34.87
7,5,29,19,Degučių,272,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,291,17.62
7,1,29,5,Degučių,81,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,86,5.21
7,6,29,8,Degučių,177,„Drąsos kelias“ politinė partija,Marijampolės,185,11.2
9,9,29,7,Šaulių,58,Partija Tvarka ir teisingumas,Marijampolės,65,5.5
9,7,29,,Šaulių,2,Lietuvos lenkų rinkimų akcija,Marijampolės,2,0.17
9,14,29,2,Šaulių,47,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,49,4.15
9,16,29,,Šaulių,14,Liberalų ir centro sąjunga,Marijampolės,14,1.19
9,18,29,1,Šaulių,9,Politinė partija „Sąjunga Taip“,Marijampolės,10,0.85
9,13,29,1,Šaulių,7,Socialistinis liaudies Frontas,Marijampolės,8,0.68
9,11,29,5,Šaulių,35,Krikščionių partija,Marijampolės,40,3.39
9,10,29,5,Šaulių,11,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,16,1.35
8,6,29,6,Suvalkiečių,96,„Drąsos kelias“ politinė partija,Marijampolės,102,9.64
8,9,29,5,Suvalkiečių,53,Partija Tvarka ir teisingumas,Marijampolės,58,5.48
8,7,29,,Suvalkiečių,1,Lietuvos lenkų rinkimų akcija,Marijampolės,1,0.09
8,14,29,3,Suvalkiečių,32,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,35,3.31
8,16,29,2,Suvalkiečių,5,Liberalų ir centro sąjunga,Marijampolės,7,0.66
8,18,29,,Suvalkiečių,10,Politinė partija „Sąjunga Taip“,Marijampolės,10,0.95
8,13,29,,Suvalkiečių,14,Socialistinis liaudies Frontas,Marijampolės,14,1.32
8,11,29,1,Suvalkiečių,21,Krikščionių partija,Marijampolės,22,2.08
7,9,29,9,Degučių,80,Partija Tvarka ir teisingumas,Marijampolės,89,5.39
7,7,29,,Degučių,3,Lietuvos lenkų rinkimų akcija,Marijampolės,3,0.18
7,14,29,2,Degučių,39,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,41,2.48
7,16,29,1,Degučių,10,Liberalų ir centro sąjunga,Marijampolės,11,0.67
7,18,29,,Degučių,14,Politinė partija „Sąjunga Taip“,Marijampolės,14,0.85
7,13,29,2,Degučių,11,Socialistinis liaudies Frontas,Marijampolės,13,0.79
7,11,29,2,Degučių,34,Krikščionių partija,Marijampolės,36,2.18
7,10,29,4,Degučių,15,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,19,1.15
6,3,29,9,Mokolų,254,Darbo partija,Marijampolės,263,16.85
6,8,29,31,Mokolų,488,Lietuvos socialdemokratų partija,Marijampolės,519,33.25
6,5,29,19,Mokolų,178,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,197,12.62
6,1,29,13,Mokolų,117,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,130,8.33
6,6,29,9,Mokolų,148,„Drąsos kelias“ politinė partija,Marijampolės,157,10.06
5,3,29,13,Uosupio,201,Darbo partija,Marijampolės,214,18.26
5,8,29,14,Uosupio,334,Lietuvos socialdemokratų partija,Marijampolės,348,29.69
5,5,29,27,Uosupio,147,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,174,14.85
5,1,29,6,Uosupio,84,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,90,7.68
5,6,29,7,Uosupio,112,„Drąsos kelias“ politinė partija,Marijampolės,119,10.15
9,15,29,2,Šaulių,3,Partija „Jaunoji Lietuva“,Marijampolės,5,0.42
9,4,29,1,Šaulių,2,Demokratinė darbo ir vienybės partija,Marijampolės,3,0.25
9,17,29,1,Šaulių,7,Emigrantų partija,Marijampolės,8,0.68
9,2,29,,Šaulių,1,Respublikonų partija,Marijampolės,1,0.08
9,12,29,,Šaulių,2,Lietuvos žmonių partija,Marijampolės,2,0.17
8,10,29,,Suvalkiečių,22,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,22,2.08
8,15,29,1,Suvalkiečių,3,Partija „Jaunoji Lietuva“,Marijampolės,4,0.38
8,4,29,1,Suvalkiečių,6,Demokratinė darbo ir vienybės partija,Marijampolės,7,0.66
8,17,29,,Suvalkiečių,1,Emigrantų partija,Marijampolės,1,0.09
8,2,29,,Suvalkiečių,,Respublikonų partija,Marijampolės,,
8,12,29,,Suvalkiečių,2,Lietuvos žmonių partija,Marijampolės,2,0.19
7,15,29,,Degučių,6,Partija „Jaunoji Lietuva“,Marijampolės,6,0.36
7,4,29,,Degučių,2,Demokratinė darbo ir vienybės partija,Marijampolės,2,0.12
7,17,29,1,Degučių,8,Emigrantų partija,Marijampolės,9,0.54
7,2,29,,Degučių,3,Respublikonų partija,Marijampolės,3,0.18
7,12,29,,Degučių,,Lietuvos žmonių partija,Marijampolės,,
6,9,29,7,Mokolų,109,Partija Tvarka ir teisingumas,Marijampolės,116,7.43
6,7,29,,Mokolų,1,Lietuvos lenkų rinkimų akcija,Marijampolės,1,0.06
6,14,29,3,Mokolų,48,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,51,3.27
6,16,29,2,Mokolų,15,Liberalų ir centro sąjunga,Marijampolės,17,1.09
6,18,29,1,Mokolų,12,Politinė partija „Sąjunga Taip“,Marijampolės,13,0.83
6,13,29,,Mokolų,12,Socialistinis liaudies Frontas,Marijampolės,12,0.77
6,11,29,3,Mokolų,24,Krikščionių partija,Marijampolės,27,1.73
6,10,29,1,Mokolų,27,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,28,1.79
5,9,29,2,Uosupio,83,Partija Tvarka ir teisingumas,Marijampolės,85,7.25
5,7,29,,Uosupio,2,Lietuvos lenkų rinkimų akcija,Marijampolės,2,0.17
5,14,29,4,Uosupio,39,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,43,3.67
5,16,29,2,Uosupio,9,Liberalų ir centro sąjunga,Marijampolės,11,0.94
5,18,29,,Uosupio,5,Politinė partija „Sąjunga Taip“,Marijampolės,5,0.43
5,13,29,1,Uosupio,10,Socialistinis liaudies Frontas,Marijampolės,11,0.94
5,11,29,2,Uosupio,21,Krikščionių partija,Marijampolės,23,1.96
5,10,29,2,Uosupio,19,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,21,1.79
4,3,29,24,Tarpučių,227,Darbo partija,Marijampolės,251,15.32
4,8,29,63,Tarpučių,453,Lietuvos socialdemokratų partija,Marijampolės,516,31.5
4,5,29,41,Tarpučių,235,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,276,16.85
4,1,29,17,Tarpučių,156,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,173,10.56
6,15,29,,Mokolų,10,Partija „Jaunoji Lietuva“,Marijampolės,10,0.64
6,4,29,1,Mokolų,5,Demokratinė darbo ir vienybės partija,Marijampolės,6,0.38
6,17,29,,Mokolų,7,Emigrantų partija,Marijampolės,7,0.45
6,2,29,,Mokolų,4,Respublikonų partija,Marijampolės,4,0.26
6,12,29,,Mokolų,3,Lietuvos žmonių partija,Marijampolės,3,0.19
5,15,29,,Uosupio,8,Partija „Jaunoji Lietuva“,Marijampolės,8,0.68
5,4,29,1,Uosupio,6,Demokratinė darbo ir vienybės partija,Marijampolės,7,0.6
5,17,29,,Uosupio,7,Emigrantų partija,Marijampolės,7,0.6
5,2,29,,Uosupio,,Respublikonų partija,Marijampolės,,
5,12,29,,Uosupio,4,Lietuvos žmonių partija,Marijampolės,4,0.34
4,6,29,10,Tarpučių,138,„Drąsos kelias“ politinė partija,Marijampolės,148,9.04
4,9,29,12,Tarpučių,74,Partija Tvarka ir teisingumas,Marijampolės,86,5.25
4,7,29,,Tarpučių,2,Lietuvos lenkų rinkimų akcija,Marijampolės,2,0.12
4,14,29,2,Tarpučių,52,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,54,3.3
4,16,29,1,Tarpučių,17,Liberalų ir centro sąjunga,Marijampolės,18,1.1
4,18,29,,Tarpučių,18,Politinė partija „Sąjunga Taip“,Marijampolės,18,1.1
4,13,29,4,Tarpučių,8,Socialistinis liaudies Frontas,Marijampolės,12,0.73
4,11,29,11,Tarpučių,27,Krikščionių partija,Marijampolės,38,2.32
3,3,29,22,Laikštės,149,Darbo partija,Marijampolės,171,16.33
3,8,29,21,Laikštės,241,Lietuvos socialdemokratų partija,Marijampolės,262,25.02
3,5,29,30,Laikštės,172,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,202,19.29
3,1,29,7,Laikštės,72,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,79,7.55
3,6,29,3,Laikštės,120,„Drąsos kelias“ politinė partija,Marijampolės,123,11.75
2,3,29,13,Narto,125,Darbo partija,Marijampolės,138,12.84
2,8,29,29,Narto,276,Lietuvos socialdemokratų partija,Marijampolės,305,28.37
2,5,29,24,Narto,224,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,248,23.07
2,1,29,10,Narto,72,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,82,7.63
1,3,31,42,Gargždų,212,Darbo partija,Gargždų,254,15.36
1,8,31,56,Gargždų,297,Lietuvos socialdemokratų partija,Gargždų,353,21.34
1,5,31,27,Gargždų,158,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Gargždų,185,11.19
1,1,31,11,Gargždų,178,Lietuvos Respublikos liberalų sąjūdis,Gargždų,189,11.43
1,3,29,10,Kvietiškio,281,Darbo partija,Marijampolės,291,19.45
1,8,29,33,Kvietiškio,407,Lietuvos socialdemokratų partija,Marijampolės,440,29.41
1,5,29,39,Kvietiškio,202,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Marijampolės,241,16.11
1,1,29,6,Kvietiškio,92,Lietuvos Respublikos liberalų sąjūdis,Marijampolės,98,6.55
4,10,29,3,Tarpučių,15,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,18,1.1
4,15,29,1,Tarpučių,7,Partija „Jaunoji Lietuva“,Marijampolės,8,0.49
4,4,29,3,Tarpučių,4,Demokratinė darbo ir vienybės partija,Marijampolės,7,0.43
4,17,29,1,Tarpučių,7,Emigrantų partija,Marijampolės,8,0.49
4,2,29,1,Tarpučių,2,Respublikonų partija,Marijampolės,3,0.18
4,12,29,,Tarpučių,2,Lietuvos žmonių partija,Marijampolės,2,0.12
3,9,29,7,Laikštės,73,Partija Tvarka ir teisingumas,Marijampolės,80,7.64
3,7,29,,Laikštės,1,Lietuvos lenkų rinkimų akcija,Marijampolės,1,0.1
3,14,29,5,Laikštės,40,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,45,4.3
3,16,29,1,Laikštės,17,Liberalų ir centro sąjunga,Marijampolės,18,1.72
3,18,29,2,Laikštės,5,Politinė partija „Sąjunga Taip“,Marijampolės,7,0.67
3,13,29,,Laikštės,8,Socialistinis liaudies Frontas,Marijampolės,8,0.76
3,11,29,1,Laikštės,11,Krikščionių partija,Marijampolės,12,1.15
3,10,29,3,Laikštės,20,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Marijampolės,23,2.2
2,6,29,12,Narto,98,„Drąsos kelias“ politinė partija,Marijampolės,110,10.23
2,9,29,11,Narto,51,Partija Tvarka ir teisingumas,Marijampolės,62,5.77
2,7,29,,Narto,,Lietuvos lenkų rinkimų akcija,Marijampolės,,
2,14,29,6,Narto,48,Lietuvos valstiečių ir žaliųjų sąjunga,Marijampolės,54,5.02
2,16,29,1,Narto,6,Liberalų ir centro sąjunga,Marijampolės,7,0.65
2,18,29,2,Narto,5,Politinė partija „Sąjunga Taip“,Marijampolės,7,0.65
2,13,29,1,Narto,6,Socialistinis liaudies Frontas,Marijampolės,7,0.65
2,11,29,2,Narto,12,Krikščionių partija,Marijampolės,14,1.3
1,6,31,17,Gargždų,205,„Drąsos kelias“ politinė partija,Gargždų,222,13.42
1,9,31,54,Gargždų,231,Partija Tvarka ir teisingumas,Gargždų,285,17.23
1,7,31,,Gargždų,,Lietuvos lenkų rinkimų akcija,Gargždų,,
1,14,31,,Gargždų,32,Lietuvos valstiečių ir žaliųjų sąjunga,Gargždų,32,1.93
1,16,31,5,Gargždų,32,Liberalų ir centro sąjunga,Gargždų,37,2.24
1,18,31,1,Gargždų,8,Politinė partija „Sąjunga Taip“,Gargždų,9,0.54
1,13,31,1,Gargždų,13,Socialistinis liaudies Frontas,Gargždų,14,0.85
